Topology,Mode,Variant,Status,Runtime(s),LogFile,ErrorMessage
S3S1,AX,TT,PASS,0.53,S3S1_AX_TT_20251214_135031.log,""
S3S1,AX,REE,PASS,0.5,S3S1_AX_REE_20251214_135031.log,""
S3S1,AX,FULL,PASS,0.5,S3S1_AX_FULL_20251214_135031.log,""
S3S1,VT,TT,PASS,0.53,S3S1_VT_TT_20251214_135031.log,""
S3S1,VT,REE,PASS,0.55,S3S1_VT_REE_20251214_135031.log,""
S3S1,VT,FULL,PASS,0.54,S3S1_VT_FULL_20251214_135031.log,""
S3S1,MX,TT,PASS,0.66,S3S1_MX_TT_20251214_135031.log,""
S3S1,MX,REE,PASS,0.67,S3S1_MX_REE_20251214_135031.log,""
S3S1,MX,FULL,PASS,0.71,S3S1_MX_FULL_20251214_135031.log,""
T3S1,AX,TT,PASS,0.44,T3S1_AX_TT_20251214_135031.log,""
T3S1,AX,REE,PASS,0.43,T3S1_AX_REE_20251214_135031.log,""
T3S1,AX,FULL,PASS,0.43,T3S1_AX_FULL_20251214_135031.log,""
T3S1,VT,TT,PASS,0.43,T3S1_VT_TT_20251214_135031.log,""
T3S1,VT,REE,PASS,0.42,T3S1_VT_REE_20251214_135031.log,""
T3S1,VT,FULL,PASS,0.43,T3S1_VT_FULL_20251214_135031.log,""
T3S1,MX,TT,PASS,0.57,T3S1_MX_TT_20251214_135031.log,""
T3S1,MX,REE,PASS,0.58,T3S1_MX_REE_20251214_135031.log,""
T3S1,MX,FULL,PASS,0.58,T3S1_MX_FULL_20251214_135031.log,""
Nil3S1,AX,TT,PASS,0.53,Nil3S1_AX_TT_20251214_135031.log,""
Nil3S1,AX,REE,PASS,0.53,Nil3S1_AX_REE_20251214_135031.log,""
Nil3S1,AX,FULL,PASS,0.52,Nil3S1_AX_FULL_20251214_135031.log,""
Nil3S1,VT,TT,PASS,0.52,Nil3S1_VT_TT_20251214_135031.log,""
Nil3S1,VT,REE,PASS,0.55,Nil3S1_VT_REE_20251214_135031.log,""
Nil3S1,VT,FULL,PASS,0.57,Nil3S1_VT_FULL_20251214_135031.log,""
Nil3S1,MX,TT,PASS,0.7,Nil3S1_MX_TT_20251214_135031.log,""
Nil3S1,MX,REE,PASS,0.71,Nil3S1_MX_REE_20251214_135031.log,""
Nil3S1,MX,FULL,PASS,0.7,Nil3S1_MX_FULL_20251214_135031.log,""
